index,smiles,canonical_smiles,fold
48,C1C=CC23OC12C1OC31,C1=CC23OC2(C1)C1OC13,2
49,OC(C#C)C1OC1C#C,C#CC(O)C1OC1C#C,1
50,CC12CCOC(=N)C1N2,CC12CCOC(=N)C1N2,3
51,CN1CCc2c1onc2,CN1CCc2cnoc21,0
52,C1C2C3CC1C1OC1C23,C1C2CC3C1C3C1OC21,2
53,c1(c(c([nH]c1N)N)O)O,Nc1[nH]c(N)c(O)c1O,2
54,CC1OC2C3NC2C13O,CC1OC2C3NC2C13O,1
55,CC(=O)Oc1ncon1,CC(=O)Oc1ncon1,1
56,C1COc2c1onc2O,Oc1noc2c1OCC2,4
57,O=C1COC2C3CC3C12,O=C1COC2C3CC3C12,4
58,c1c2cncnc2c[nH]1,c1ncc2c[nH]cc2n1,1
59,CN=C1CC2NC2CO1,CN=C1CC2NC2CO1,4
60,C1CN1CC2OCCO2,C1COC(CN2CC2)O1,1
61,C1CCOCOC1,C1CCOCOC1,3
62,O=CC12CC3(CO3)C1O2,O=CC12CC3(CO3)C1O2,0
63,OC1CC11CC(=O)C1,O=C1CC2(C1)CC2O,0
64,CC1CC2(CC12)C#C,C#CC12CC(C)C1C2,2
65,CC1(C)CC(C)(O1)C#N,CC1(C)CC(C)(C#N)O1,1
66,COC1(COC1)CCO,COC1(CCO)COC1,1
67,CCC12CC1CN=CO2,CCC12CC1CN=CO2,1
68,CC1(C)C2C=CC1C2=O,CC1(C)C2C=CC1C2=O,0
69,CCC1CCCC(=O)O1,CCC1CCCC(=O)O1,2
70,Cc1c(cc([nH]1)CO)O,Cc1[nH]c(CO)cc1O,4
71,CC1(CO)COC(=O)O1,CC1(CO)COC(=O)O1,1
72,CCC1CC(C1)C(N)=O,CCC1CC(C(N)=O)C1,0
73,C1OC1C1C=CC2OC12,C1=CC(C2CO2)C2OC12,4
74,O=CC1OC2C3NC3C12,O=CC1OC2C3NC3C12,4
75,CC1C2C3OC1C1C3N21,CC1C2OC3C1N1C2C31,0
76,C#CC#Cc1ncno1,C#CC#Cc1ncno1,3
77,CCCCc1[nH]ccn1,CCCCc1ncc[nH]1,3
78,CCc1c(non1)C#N,CCc1nonc1C#N,4
79,C1OC2C=CCC22NC12,C1=CC2OCC3NC32C1,3
80,OCC(C#C)C1CO1,C#CC(CO)C1CO1,4
81,CC(C)(O)C12CC1CC2,CC(C)(O)C12CCC1C2,0
82,COC1CC(C)(C)C1=O,COC1CC(C)(C)C1=O,2
83,OCC1OC2CC=CC12,OCC1OC2CC=CC12,1
84,CCc1cccnc1F,CCc1cccnc1F,2
85,O=C1OCC1C1CCO1,O=C1OCC1C1CCO1,1
86,CC12CC1CC2CC#N,CC12CC1CC2CC#N,3
87,CC1CCC2CC2C1,CC1CCC2CC2C1,3
88,CCC1(C)CC1(C)C#C,C#CC1(C)CC1(C)CC,3
89,CC1COC1(C)C#C,C#CC1(C)OCC1C,2
90,CCC1(NCC1N)C#N,CCC1(C#N)NCC1N,2
91,CC(=O)Cn1ncnn1,CC(=O)Cn1ncnn1,0
92,OC1C23CCC12N=CO3,OC1C23CCC12OC=N3,3
93,CCCC12OCC1C2C,CCCC12OCC1C2C,3
94,C#Cc1c(c(n[nH]1)N)N,C#Cc1[nH]nc(N)c1N,2
95,CN=C1N=NON=C1F,CN=c1nnonc1F,0
96,COC1C2CC1C1OC21,COC1C2CC1C1OC21,2
97,ON=C1C2CC3C2OC13,ON=C1C2CC3C1OC23,4
98,O=CC12CCOCC1O2,O=CC12CCOCC1O2,0
99,CC(C)C(C)(O)C=O,CC(C)C(C)(O)C=O,3
100,COC(C)(CC#C)C#N,C#CCC(C)(C#N)OC,4
101,CC1(C)COC2CC2O1,CC1(C)COC2CC2O1,0
102,OC1C2NC1C(O)C=C2,OC1C=CC2NC1C2O,1
103,CC1(O)C2NC11CNC21,CC1(O)C2NC13CNC23,4
104,CCC(=O)COCC,CCOCC(=O)CC,0
105,CC(C)(C#N)C#N,CC(C)(C#N)C#N,2
106,c1c(nc(o1)C(=O)N)N,NC(=O)c1nc(N)co1,4
107,OCC1C2CC(=O)C12,O=C1CC2C(CO)C12,0
108,CC1C=CC(=O)C2NC12,CC1C=CC(=O)C2NC12,2
109,CC(O)C1OCC1(C)C,CC(O)C1OCC1(C)C,4
110,OC1CCC2CCC12O,OC1CCC2CCC12O,4
111,CC#CCOC(=O)NC,CC#CCOC(=O)NC,2
112,OC1CCOC(=N)C1O,N=C1OCCC(O)C1O,0
113,OC1C2CCC3(CO3)C12,OC1C2CCC3(CO3)C12,2
114,CC(=O)N1CC1CCO,CC(=O)N1CC1CCO,1
115,OC1C2C3C4CC2C1C34,OC1C2C3CC4C2C4C13,3
116,OCC1(CNC=O)CO1,O=CNCC1(CO)CO1,0
117,CC(C)C(CC#N)C#C,C#CC(CC#N)C(C)C,3
118,CC1=CC2CCOC1O2,CC1=CC2CCOC1O2,2
119,CC(CO)C1CCC1C,CC(CO)C1CCC1C,4
120,O=CC1CCC2(CO2)C1,O=CC1CCC2(CO2)C1,4
121,CC1(O)C2CC2C11CO1,CC1(O)C2CC2C12CO2,2
122,OCCC1CC1NC=O,O=CNC1CC1CCO,1
123,CC1(C)CC1C1CCC1,CC1(C)CC1C1CCC1,2
124,CC12C3C1C1C3CN21,CC12C3C4CN1C4C32,2
125,OCC1=NC(=N)C=CO1,N=c1ccoc(CO)n1,0
126,CC1OCC(O)C11CN1,CC1OCC(O)C12CN2,0
127,Cc1ccon1,Cc1ccon1,4
128,CC1(CC(=O)N1)C=O,CC1(C=O)CC(=O)N1,2
129,CC(=O)NC(=NC)C#C,C#CC(=NC)NC(C)=O,1
130,CC1OC2CC2(C)O1,CC1OC2CC2(C)O1,1
131,CC1C2(C)OC1(C)C=C2,CC1C2(C)C=CC1(C)O2,3
132,CC1C2CN2C1(C)CO,CC1C2CN2C1(C)CO,0
133,CC1CC(C)C1C1CO1,CC1CC(C)C1C1CO1,1
134,CCC(CCO)CC#N,CCC(CC#N)CCO,0
135,Cc1ccnc(n1)F,Cc1ccnc(F)n1,3
136,CCNC(=N)C(=O)NC,CCNC(=N)C(=O)NC,3
137,OC12CC1C1COC2O1,OC12CC1C1COC2O1,4
138,CC1=[NH+]C=C(N1)C([O-])=O,Cc1[nH]c(C(=O)[O-])c[nH+]1,4
139,CCOCCC1CC1,CCOCCC1CC1,1
140,OC1CN2C1=NC=C2O,Oc1cnc2n1CC2O,1
141,CCCC(C#N)C1CC1,CCCC(C#N)C1CC1,3
142,CCCC1CC(O1)C#N,CCCC1CC(C#N)O1,2
143,c1c(c2c(o1)nno2)N,Nc1coc2nnoc12,3
144,N=CN1C2CC2OC1=O,N=CN1C(=O)OC2CC21,3
145,COCCCC1OC1C,COCCCC1OC1C,4
146,COC(=O)C(O)C1CO1,COC(=O)C(O)C1CO1,1
147,CC1C2CC(C#C)C12C,C#CC1CC2C(C)C12C,2
148,O=CC1NC1C1CN1,O=CC1NC1C1CN1,3
149,COC1C2OC(C)=NC12,COC1C2N=C(C)OC21,4
150,CNC(=O)c1ccoc1,CNC(=O)c1ccoc1,0
151,OC1(COC1C=O)C#C,C#CC1(O)COC1C=O,3
152,CC12CC1C(CO)C2O,CC12CC1C(CO)C2O,2
153,OC1CNC1=NC1CC1,OC1CNC1=NC1CC1,1
154,CC1OC(=O)CNC1=N,CC1OC(=O)CNC1=N,1
155,Cc1c(ncnc1O)N,Cc1c(N)ncnc1O,2
156,CC(C=O)C(C)(C)C#N,CC(C=O)C(C)(C)C#N,2
157,CC12OC(C)(C1O)C2O,CC12OC(C)(C1O)C2O,4
158,CC1CC2=C(C1)N=NO2,CC1Cc2nnoc2C1,2
159,CC1OC(=N)C1C1CO1,CC1OC(=N)C1C1CO1,4
160,C1C2C3C4CN2CC4N13,C1C2C3CN1C1CN3C21,2
161,c1c2c([nH]n1)OCC=C2,C1=Cc2cn[nH]c2OC1,0
162,CC1CC=CC(C)C1O,CC1C=CCC(C)C1O,0
163,CN(CCC=O)C=O,CN(C=O)CCC=O,3
164,CC1C2CC1C(O2)C#C,C#CC1OC2CC1C2C,0
165,CC1C=CC2(C)CC12C,CC1C=CC2(C)CC12C,2
166,CC1=CN2CC2CC1=O,CC1=CN2CC2CC1=O,2
167,N#CC12CC3CCC1C23,N#CC12CC3CCC1C32,0
168,CC(C)(C)C(=O)N(C)C,CN(C)C(=O)C(C)(C)C,0
169,CCC1C2C(O)CN12,CCC1C2C(O)CN12,2
170,OC1CC2C3CC12CO3,OC1CC2C3CC12CO3,4
171,CC1CNC(=O)CN1C,CC1CNC(=O)CN1C,3
172,CCCOC(=O)C#CC,CC#CC(=O)OCCC,4
173,Cc1nc2n(n1)cco2,Cc1nc2occn2n1,0
174,CC(C)n1cn[nH]c1=O,CC(C)n1cn[nH]c1=O,4
175,COC1C2C3CC=C1C23,COC1C2=CCC3C2C13,4
176,CC12C3CC1=CC(=O)C23,CC12C3=CC(=O)C1C2C3,4
177,CC1OC2CC1C2C#N,CC1OC2CC1C2C#N,3
178,C(C1CN1)C1=COC=C1,c1cc(CC2CN2)co1,3
179,CC1(O)CC1C(N)C#N,CC1(O)CC1C(N)C#N,3
180,C1C2C3CC4OCC24C13,C1C2C3CC2C32COC12,1
181,C#CCN1CCC(=O)C1,C#CCN1CCC(=O)C1,3
182,OC12COC1C1OCC21,OC12COC1C1OCC12,4
183,CC1(CN1)C(=O)CC#N,CC1(C(=O)CC#N)CN1,1
184,C1OC1C1=NOC=N1,c1nc(C2CO2)no1,1
185,O=CC(=O)C1CC2CC12,O=CC(=O)C1CC2CC21,0
186,C#CCC12CCC1CO2,C#CCC12CCC1CO2,0
187,C1OC11C=CCC2OC12,C1=CC2(CO2)C2OC2C1,3
188,O=CC(=O)C1COCO1,O=CC(=O)C1COCO1,0
189,CC1(C)CC2(OC12)C#N,CC1(C)CC2(C#N)OC12,0
190,N=C1OCC2OC1C2=O,N=C1OCC2OC1C2=O,3
191,CC12NC1C=CCC2=O,CC12NC1C=CCC2=O,4
192,CC1C=CC2(CN2)C1O,CC1C=CC2(CN2)C1O,0
193,C1CC1C2=NCCO2,C1COC(C2CC2)=N1,2
194,Cc1c(=O)[nH]nc(n1)O,Cc1nc(O)n[nH]c1=O,3
195,CCC#CCN=COC,CCC#CCN=COC,0
196,[NH3+]CCC(C#C)C([O-])=O,C#CC(CC[NH3+])C(=O)[O-],3
197,CC1C2CC(C2)OC1=N,CC1C(=N)OC2CC1C2,4
198,CC1CCCC(C1)C#N,CC1CCCC(C#N)C1,4
199,CCOC=NC(C)C#C,C#CC(C)N=COCC,1
200,CC1OCC2(C)CC1O2,CC1OCC2(C)CC1O2,3
201,N=C1CC(CO1)C1CC1,N=C1CC(C2CC2)CO1,1
202,CCOC(C)C(=N)OC,CCOC(C)C(=N)OC,0
203,CC1OC(=N)C11CCO1,CC1OC(=N)C12CCO2,1
204,CN1C(C#N)C1(C)C#C,C#CC1(C)C(C#N)N1C,1
205,OCC12CN1C(=O)C2O,O=C1C(O)C2(CO)CN12,3
206,CC1(CCO)CN2CC12,CC1(CCO)CN2CC21,3
207,OCC1CC1OC1CC1,OCC1CC1OC1CC1,1
208,C#CC1=CCC2CC1C2,C#CC1=CCC2CC1C2,3
209,C1OC11CCC2CC1O2,C1CC2(CO2)C2CC1O2,4
210,O=C1OC23CC12NCC3,O=C1OC23CCNC12C3,0
211,CC1(COC1)OC=N,CC1(OC=N)COC1,1
212,CCC1CC1CNC=O,CCC1CC1CNC=O,2
213,OC12CC=C3CC1C23O,OC12CC=C3CC1C32O,3
214,OC12CN3C(C1)C(=O)C23,O=C1C2CC3(O)CN2C13,2
215,COCC12CC1N=CO2,COCC12CC1N=CO2,1
216,FC1=C(F)C=NC(=N)N1,N=c1ncc(F)c(F)[nH]1,4
217,CC1(CCOC=O)CO1,CC1(CCOC=O)CO1,3
218,CC(CO)C1=CC=NO1,CC(CO)c1ccno1,3
219,CC1=NNC(=N)C(N)=N1,Cc1n[nH]c(=N)c(N)n1,4
220,COc1ncc(=O)on1,COc1ncc(=O)on1,1
221,CN1C(C#C)C1(C)C=O,C#CC1N(C)C1(C)C=O,3
222,CCC#CC1CC1C#C,C#CC1CC1C#CCC,1
223,CN1N=C(OC1=N)C=O,Cn1nc(C=O)oc1=N,0
224,CCCC(CO)C#CC,CC#CC(CO)CCC,1
225,CCC(O)C1CC1C,CCC(O)C1CC1C,1
226,OC1(CC(C1)C=O)C#C,C#CC1(O)CC(C=O)C1,4
227,CC1CCC(C1)C1CO1,CC1CCC(C2CO2)C1,3
228,COC1=CC(=N)C=NO1,COc1cc(=N)cno1,2
229,CC12NC1C(=O)C21CC1,CC12NC1C(=O)C21CC1,1
230,C1CC1N1C2C3CC3C12,C1C2C1C1C2N1C1CC1,3
231,CCC12CN3C1CC23,CCC12CN3C1CC32,3
232,CC12CC3C4C1C2N34,CC12CC3C4C1C2N34,3
233,N=C1OC=CC=C1C=O,N=c1occcc1C=O,3
234,COC(C)CN1CC1C,COC(C)CN1CC1C,4
235,CC(O)C(O)C1OC1C,CC(O)C(O)C1OC1C,2
236,CC12CCC1C=CC2=O,CC12CCC1C=CC2=O,4
237,CCC1C2CC2C1(C)O,CCC1C2CC2C1(C)O,0
238,CC1CC(C)C1CO,CC1CC(C)C1CO,1
239,CCN1C2C3OC2C13,CCN1C2C3OC2C31,3
240,CC(=O)C(O)C#CC#N,CC(=O)C(O)C#CC#N,2
241,CC(=O)OCC(O)CO,CC(=O)OCC(O)CO,2
242,C1CC(C1)(COC=O)O,O=COCC1(O)CCC1,3
243,C1C2CC1C1=CN=CN21,c1ncn2c1C1CC2C1,2
244,Cc1c(c(ccn1)O)N,Cc1nccc(O)c1N,0
245,CC1=CC(=O)NCC1,CC1=CC(=O)NCC1,0
246,CN(C=N)c1ncno1,CN(C=N)c1ncno1,0
247,OC1C2CC(CC12)C#N,N#CC1CC2C(O)C2C1,1
248,COC1CC11CC2CN12,COC1CC12CC1CN12,2
249,CN1CC2(O)C(O)CC12,CN1CC2(O)C(O)CC12,2
250,C1OC1C12C3C4C1N4C23,C1OC1C12C3C4C1N4C32,3
251,Cc1cc(cnc1C)N,Cc1cc(N)cnc1C,0
252,COC1CC2CC2C1C,COC1CC2CC2C1C,3
253,CC(CC#N)C(C)C#N,CC(C#N)C(C)CC#N,2
254,CC1(CO)COC1=N,CC1(CO)COC1=N,2
255,c1cc([nH]c1CO)O,OCc1ccc(O)[nH]1,2
256,CCC(CC#CC)C#N,CC#CCC(C#N)CC,2
257,CC12CC1C(C)(N2)C#N,CC1(C#N)NC2(C)CC12,3
258,N=COC12CC1NC2=N,N=COC12CC1NC2=N,4
259,CC12OC3C1OC(=O)C23,CC12OC3C1OC(=O)C32,4
260,C1C=CC2COCC=C12,C1=CC2COCC=C2C1,1
261,O=C1CC2CN2C2CC12,O=C1CC2CN2C2CC12,1
262,C#Cc1coc(c1N)O,C#Cc1coc(O)c1N,0
263,CN=C1OC2CC1C=C2,CN=C1OC2C=CC1C2,1
264,CC1CC(O)C1CCO,CC1CC(O)C1CCO,3
265,c1cncc2c1cn[nH]2,c1cc2cn[nH]c2cn1,4
266,CCC1CN2C=NC=C12,CCC1Cn2cncc21,0
267,CC1C2OC(CO)OC12,CC1C2OC(CO)OC12,0
268,N=C1OCC(=C1)N1CC1,N=C1C=C(N2CC2)CO1,1
269,C1CC(C1)(CO)C=O,O=CC1(CO)CCC1,0
270,CC1=C(C=NN1)C1CO1,Cc1[nH]ncc1C1CO1,0
271,CC1C2CC3(O)CC2C13,CC1C2CC3(O)CC2C13,0
272,CC1(CN1)C(O)C1CC1,CC1(C(O)C2CC2)CN1,4
273,CC1OC(CO)C=C1C,CC1=CC(CO)OC1C,2
274,CCC1CC1(O)C(C)=O,CCC1CC1(O)C(C)=O,0
275,COC=NCC1CC1O,COC=NCC1CC1O,3
276,CCc1c(nnn1C)O,CCc1c(O)nnn1C,2
277,CCC1(O)CC1(C)CO,CCC1(O)CC1(C)CO,4
278,CC1C2C3CC3(CO)N12,CC1C2C3CC3(CO)N12,0
279,C#CCc1cc(no1)N,C#CCc1cc(N)no1,0
280,OCC(O)C(=O)CC#N,N#CCC(=O)C(O)CO,3
281,COCCC1(CC1)OC,COCCC1(OC)CC1,1
282,CCCC(NC=O)C#N,CCCC(C#N)NC=O,4
283,CC1C(O)CC11CCC1,CC1C(O)CC12CCC2,3
284,CC1(O)C2CC1C=CC2,CC1(O)C2C=CCC1C2,2
285,CC1C2C1C(CO)C2C,CC1C(CO)C2C(C)C12,0
286,c1c2c(con2)ncn1,c1ncc2nocc2n1,4
287,CC1(C)CC2NC1C2=O,CC1(C)CC2NC1C2=O,3
288,COC1(C)C(C)C1C,COC1(C)C(C)C1C,4
289,CC(NC(=N)C#N)C=O,CC(C=O)NC(=N)C#N,3
290,N#CC1CC2CCN1C2,N#CC1CC2CCN1C2,4
291,NC12C=CN3C=NC1C23,NC12C=CN3C=NC1C32,2
292,C1CC23OC4C(CC24)C13,C1CC23OC4C(CC42)C13,1
293,OCC1C2C3CN3C12,OCC1C2C3CN3C12,3
294,CC1CC1C1CNC1=O,CC1CC1C1CNC1=O,0
295,C1NC1C1OC2CC12,C1NC1C1OC2CC21,2
296,CC1C2CC=C(C)C12C,CC1=CCC2C(C)C12C,4
297,CCC1=CC(C)C2OC12,CCC1=CC(C)C2OC12,2
298,O=C1C2CNC22COC12,O=C1C2CNC23COC13,2
299,C(CNC=O)CO,O=CNCCCO,0
300,O=C1NC2CC3CCC123,O=C1NC2CC3CCC132,1
301,Cc1c[nH]c(n1)C#N,Cc1c[nH]c(C#N)n1,0
302,CCC(C)(C)C(C)(C)C,CCC(C)(C)C(C)(C)C,1
303,CC1C(C)C11CC(=O)O1,CC1C(C)C12CC(=O)O2,1
304,C1CC12CCOC(=O)C2,O=C1CC2(CCO1)CC2,0
305,C1OC2CC=CC1CO2,C1=CC2COC(C1)OC2,2
306,CCC1NC11COC1=O,CCC1NC12COC2=O,0
307,CN(CCC=O)CC=O,CN(CC=O)CCC=O,0
308,CC1C2C=C(C)C(=O)C12,CC1=CC2C(C)C2C1=O,3
309,COC(C(C)=O)C(N)=O,COC(C(C)=O)C(N)=O,3
310,COCC(C)CNC=O,COCC(C)CNC=O,3
311,OC1=C(O)C(=N)C=NN1,N=c1cn[nH]c(O)c1O,4
312,CC1CC1C1OCCO1,CC1CC1C1OCCO1,3
313,N#CCNC1CCC=C1,N#CCNC1C=CCC1,4
314,COC1(C)C2NC2C1C,COC1(C)C(C)C2NC21,0
315,CC1=CCC2CC1C2O,CC1=CCC2CC1C2O,1
316,CCC12CC1OCC2O,CCC12CC1OCC2O,1
317,CC(CC1COC1)C=O,CC(C=O)CC1COC1,2
318,CC1(C)C2C3NC3C12O,CC1(C)C2C3NC3C21O,0
319,C#CCCOCCC#N,C#CCCOCCC#N,0
320,CC1CC2(OC12C)C=O,CC1CC2(C=O)OC12C,2
321,OC1CC2CCCC1O2,OC1CC2CCCC1O2,1
322,c1nc([nH]n1)CC=O,O=CCc1ncn[nH]1,1
323,CC1CC1OC(C)=N,CC(=N)OC1CC1C,0
324,NC(=O)C1C2NC1C2O,NC(=O)C1C2NC1C2O,1
325,c1c(cn[nH]1)NCC#N,N#CCNc1cn[nH]c1,3
326,CC(=O)OCC(=O)N,CC(=O)OCC(N)=O,4
327,c1c(ocn1)C2CCC2,c1ncc(C2CCC2)o1,0
328,OCC1CC11CCC=C1,OCC1CC12C=CCC2,0
329,CC(=O)C1(CO1)C1CC1,CC(=O)C1(C2CC2)CO1,0
330,CC1CCNC(=O)C1,CC1CCNC(=O)C1,0
331,c1cc(c(=O)cnc1)O,O=c1cncccc1O,4
332,OCC1CC2(NC12)C#C,C#CC12CC(CO)C1N2,1
333,CNc1c(cn(n1)C)N,CNc1nn(C)cc1N,3
334,N=C1NN=CC(=O)N1,N=c1[nH]ncc(=O)[nH]1,2
335,OC1CC2(O)C1NC2=N,N=C1NC2C(O)CC12O,0
336,CC1(CC(=O)N1)C,CC1(C)CC(=O)N1,3
337,Cc1cnc(nn1)N,Cc1cnc(N)nn1,3
338,CC1(CC1)C(N)C#N,CC1(C(N)C#N)CC1,0
339,CC(OC=N)C(N)=O,CC(OC=N)C(N)=O,3
340,OC(C#C)C#CC=O,C#CC(O)C#CC=O,2
341,CC(CO)C#CC1CO1,CC(C#CC1CO1)CO,4
342,OCC1C2C3C(C2O)N13,OCC1C2C(O)C3C2N13,2
343,CC1(CN1C=O)C#N,CC1(C#N)CN1C=O,1
344,CCOCC1CC(C)C1,CCOCC1CC(C)C1,0
345,c1c(con1)C2CCC2,c1nocc1C1CCC1,0
346,CC(C#C)C1CC(=O)N1,C#CC(C)C1CC(=O)N1,3
347,C1OC11CCC11CCO1,C1CC2(CCC23CO3)O1,4
348,[NH3+]CC(=N)[N-]C(=O)C#N,N#CC(=O)[N-]C(=N)C[NH3+],0
349,CC1CC2(CC1O2)C#C,C#CC12CC(C)C(C1)O2,1
350,CC1OC(=N)OC1C=O,CC1OC(=N)OC1C=O,2
351,C1CN2C(=N1)COC2=O,O=C1OCC2=NCCN12,0
352,C(C=O)n1c(=O)[nH]nn1,O=CCn1nn[nH]c1=O,4
353,CC12C3C4C3N1C24,CC12C3C4C3N1C42,4
354,CC1C2(C)CC1(O2)C=O,CC1C2(C)CC1(C=O)O2,4
355,CCC12OC3C1OC23,CCC12OC3C1OC32,0
356,CCC(CC)NC(=O)N,CCC(CC)NC(N)=O,1
357,CC1NC(CC1=O)C#C,C#CC1CC(=O)C(C)N1,1
358,CN1CC1CCC(N)=O,CN1CC1CCC(N)=O,1
359,C#CC#CC1CC2CN12,C#CC#CC1CC2CN12,0
360,CC1(C)OC11CNC1=O,CC1(C)OC12CNC2=O,1
361,CC1CC(C)(CC#N)C1,CC1CC(C)(CC#N)C1,4
362,OC1C2C1C(=O)C2C#N,N#CC1C(=O)C2C(O)C12,0
363,C#CCN1CC2OCC12,C#CCN1CC2OCC21,1
364,CC1OC2C1C1NC21C,CC1OC2C1C1NC12C,0
365,CC1CCC2(C)OC2C1,CC1CCC2(C)OC2C1,4
366,CC(=NC)NC(=O)OC,CN=C(C)NC(=O)OC,0
367,NC1CC(O)C=C1C#N,N#CC1=CC(O)CC1N,0
368,Cc1cnn(c1C)C=O,Cc1cnn(C=O)c1C,0
369,C1OC2C1C21OCC=C1,C1=CC2(OC1)C1COC12,1
370,OC12CCN3C1CC23,OC12CCN3C1CC32,0
371,c1c(c(oc1N)O)O,Nc1cc(O)c(O)o1,2
372,OC1C(CNC1=O)C=O,O=CC1CNC(=O)C1O,4
373,O=CCN1C2C3CC1C23,O=CCN1C2CC3C2C31,4
374,CCC12CC1N1CC21C,CCC12CC1N1CC12C,3
375,COC(C#C)C(O)C#N,C#CC(OC)C(O)C#N,2
376,CC1OCC1CCC#N,CC1OCC1CCC#N,3
377,c1cc([nH]c1)CC(=O)N,NC(=O)Cc1ccc[nH]1,0
378,OC1CC1C(=O)C1CC1,O=C(C1CC1)C1CC1O,3
379,COc1ccnc(c1)F,COc1ccnc(F)c1,3
380,CC1OCC(=O)C(=O)O1,CC1OCC(=O)C(=O)O1,3
381,C#CC1C2C3OCC1C23,C#CC1C2COC3C1C23,1
382,CCC1=CCCCC1=O,CCC1=CCCCC1=O,2
383,OC(C#C)C1(CN1)C=O,C#CC(O)C1(C=O)CN1,4
384,C1CC1CNC(=N)C#N,N#CC(=N)NCC1CC1,2
385,COC1C2NC1(C)C=C2,COC1C2C=CC1(C)N2,4
386,CC1COC2=C1ON=N2,CC1COc2nnoc21,2
387,CC12C3C4C5C3N1C5C24,CC12C3C4C5C3N1C5C42,4
388,CC(CO)C(C)CC#N,CC(CO)C(C)CC#N,0
389,CC1CC2(CC2)C(=O)N1,CC1CC2(CC2)C(=O)N1,3
390,OCC12CN1CC2=O,O=C1CN2CC12CO,3
391,Cc1[nH]c2cocc2n1,Cc1nc2cocc2[nH]1,1
392,CCCc1c[nH]c(n1)O,CCCc1c[nH]c(O)n1,0
393,OC12CCC1(O)C(=O)C2,O=C1CC2(O)CCC12O,3
394,CC1CC(=N)OC11CC1,CC1CC(=N)OC12CC2,0
395,O=CC1OC2C3CC3C12,O=CC1OC2C3CC3C12,1
396,COc1cnccn1,COc1cnccn1,0
